,service,online,timestamp
163,premium,False,05/05/2022 04:00
164,one week fast track,False,05/05/2022 04:30
165,premium,False,05/05/2022 04:30
166,one week fast track,False,05/05/2022 05:00
167,premium,False,05/05/2022 05:00
168,one week fast track,False,05/05/2022 05:30
169,premium,False,05/05/2022 05:30
170,one week fast track,True,05/05/2022 06:00
171,premium,False,05/05/2022 06:00
172,one week fast track,False,05/05/2022 06:30
173,premium,False,05/05/2022 06:30
174,one week fast track,False,05/05/2022 07:00
175,premium,False,05/05/2022 07:00
176,one week fast track,False,05/05/2022 07:30
177,premium,False,05/05/2022 07:30
178,one week fast track,False,05/05/2022 08:00
179,premium,False,05/05/2022 08:00
180,one week fast track,False,05/05/2022 08:30
181,premium,False,05/05/2022 08:30
182,one week fast track,False,05/05/2022 09:00
183,premium,False,05/05/2022 09:00
184,one week fast track,False,05/05/2022 09:30
185,premium,False,05/05/2022 09:30
186,one week fast track,False,05/05/2022 10:00
187,premium,False,05/05/2022 10:00
188,one week fast track,False,05/05/2022 10:30
189,premium,False,05/05/2022 10:30
190,one week fast track,False,05/05/2022 11:15
191,premium,False,05/05/2022 11:15
192,one week fast track,False,05/05/2022 11:41
193,premium,False,05/05/2022 11:41
194,one week fast track,False,05/05/2022 12:11
195,premium,False,05/05/2022 12:11
196,one week fast track,False,05/05/2022 12:36
197,premium,False,05/05/2022 12:36
198,one week fast track,False,05/05/2022 13:27
199,premium,False,05/05/2022 13:27
200,one week fast track,True,05/05/2022 14:11
201,premium,False,05/05/2022 14:11
202,one week fast track,False,05/05/2022 14:51
203,premium,False,05/05/2022 14:51
204,one week fast track,False,05/05/2022 15:12
205,premium,False,05/05/2022 15:12
206,one week fast track,False,05/05/2022 15:37
207,premium,False,05/05/2022 15:37
208,one week fast track,False,05/05/2022 16:13
209,premium,False,05/05/2022 16:13
210,one week fast track,False,05/05/2022 16:41
211,premium,False,05/05/2022 16:41
212,one week fast track,False,05/05/2022 17:18
213,premium,False,05/05/2022 17:18
214,one week fast track,False,05/05/2022 17:59
215,premium,False,05/05/2022 17:59
216,one week fast track,False,05/05/2022 18:27
217,premium,False,05/05/2022 18:27
218,one week fast track,False,05/05/2022 18:44
219,premium,False,05/05/2022 18:44
220,one week fast track,False,05/05/2022 19:16
221,premium,False,05/05/2022 19:16
222,one week fast track,False,05/05/2022 19:45
223,premium,False,05/05/2022 19:45
224,one week fast track,False,05/05/2022 20:11
225,premium,False,05/05/2022 20:11
226,one week fast track,False,05/05/2022 20:35
227,premium,False,05/05/2022 20:35
228,one week fast track,False,05/05/2022 21:14
229,premium,False,05/05/2022 21:14
230,one week fast track,False,05/05/2022 21:39
231,premium,False,05/05/2022 21:39
232,one week fast track,False,05/05/2022 22:12
233,premium,True,05/05/2022 22:12
234,one week fast track,False,05/05/2022 22:38
235,premium,True,05/05/2022 22:38
236,one week fast track,False,05/05/2022 23:14
237,premium,True,05/05/2022 23:14
238,one week fast track,False,05/05/2022 23:40
239,premium,False,05/05/2022 23:40
240,one week fast track,False,06/05/2022 00:13
241,premium,False,06/05/2022 00:13
242,one week fast track,False,06/05/2022 00:39
243,premium,False,06/05/2022 00:39
244,one week fast track,False,06/05/2022 01:59
245,premium,False,06/05/2022 01:59
246,one week fast track,False,06/05/2022 03:46
247,premium,False,06/05/2022 03:46
248,one week fast track,False,06/05/2022 04:37
249,premium,False,06/05/2022 04:37
250,one week fast track,False,06/05/2022 05:17
251,premium,False,06/05/2022 05:17
252,one week fast track,False,06/05/2022 05:49
253,premium,False,06/05/2022 05:49
254,one week fast track,False,06/05/2022 06:13
255,premium,False,06/05/2022 06:13
256,one week fast track,False,06/05/2022 06:37
257,premium,False,06/05/2022 06:37
258,one week fast track,False,06/05/2022 07:19
259,premium,False,06/05/2022 07:19
260,one week fast track,False,06/05/2022 07:49
261,premium,False,06/05/2022 07:49
262,one week fast track,False,06/05/2022 08:13
263,premium,False,06/05/2022 08:13
264,one week fast track,False,06/05/2022 08:37
265,premium,False,06/05/2022 08:37
266,one week fast track,False,06/05/2022 09:22
267,premium,False,06/05/2022 09:22
268,one week fast track,False,06/05/2022 09:44
269,premium,False,06/05/2022 09:44
270,one week fast track,False,06/05/2022 10:14
271,premium,False,06/05/2022 10:14
272,one week fast track,False,06/05/2022 10:40
273,premium,False,06/05/2022 10:40
274,one week fast track,False,06/05/2022 11:14
275,premium,False,06/05/2022 11:14
276,one week fast track,False,06/05/2022 11:41
277,premium,False,06/05/2022 11:41
278,one week fast track,False,06/05/2022 11:54
279,premium,False,06/05/2022 11:54
280,one week fast track,False,06/05/2022 12:11
281,premium,False,06/05/2022 12:11
282,one week fast track,False,06/05/2022 12:36
283,premium,False,06/05/2022 12:36
284,one week fast track,False,06/05/2022 13:25
285,premium,False,06/05/2022 13:25
286,one week fast track,False,06/05/2022 14:06
287,premium,False,06/05/2022 14:06
288,one week fast track,False,06/05/2022 14:48
289,premium,False,06/05/2022 14:48
290,one week fast track,False,06/05/2022 15:17
291,premium,False,06/05/2022 15:17
292,one week fast track,False,06/05/2022 15:20
293,premium,False,06/05/2022 15:20
294,one week fast track,True,06/05/2022 15:26
295,premium,False,06/05/2022 15:26
296,one week fast track,Busy,06/05/2022 15:38
